local_time,telemetry_ts,left_angle,right_angle,angle_diff,phase_left,phase_right,assist_left,assist_right,assist_enabled
2026-04-01 16:46:27.700,1775033188.018357,0.050430,-0.030872,0.081302,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.719,1775033188.055194,0.050814,-0.031255,0.082069,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.737,1775033188.090632,0.050430,-0.030105,0.080535,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.854,1775033188.128228,0.050047,-0.030105,0.080152,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.879,1775033188.161423,0.050047,-0.030105,0.080152,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.904,1775033188.198770,0.050047,-0.030105,0.080152,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.932,1775033188.244523,0.049663,-0.030105,0.079768,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.950,1775033188.281837,0.049280,-0.029721,0.079001,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:28.086,1775033188.315895,0.048129,-0.029721,0.077851,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.165,1775033188.359005,0.048129,-0.029338,0.077467,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.199,1775033188.396016,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.222,1775033188.439332,0.047362,-0.029338,0.076700,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.245,1775033188.477325,0.047746,-0.028954,0.076700,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.272,1775033188.515713,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.291,1775033188.554069,0.047746,-0.028954,0.076700,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.307,1775033188.588713,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.324,1775033188.622731,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.345,1775033188.657017,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.377,1775033188.690336,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.483,1775033188.725993,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.497,1775033188.764682,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.520,1775033188.801070,0.047362,-0.029338,0.076700,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.531,1775033188.839474,0.047362,-0.028954,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.553,1775033188.884116,0.047746,-0.028954,0.076700,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.628,1775033188.922269,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.654,1775033188.964236,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.669,1775033189.002320,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.729,1775033189.045239,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.751,1775033189.082291,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.765,1775033189.119250,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.781,1775033189.152794,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.884,1775033189.190850,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.906,1775033189.233815,0.047362,-0.029338,0.076700,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.921,1775033189.271692,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:28.992,1775033189.304949,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.055,1775033189.343379,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.086,1775033189.378141,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.130,1775033189.411336,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.176,1775033189.459410,0.046212,-0.029338,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.194,1775033189.495490,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.207,1775033189.533545,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.332,1775033189.571045,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.349,1775033189.609343,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.361,1775033189.647198,0.046979,-0.029338,0.076317,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.373,1775033189.686388,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.399,1775033189.719778,0.046595,-0.029338,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.413,1775033189.762008,0.046979,-0.028954,0.075933,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.425,1775033189.795236,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.441,1775033189.833407,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.500,1775033189.873843,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:29.521,1775033189.911885,0.046595,-0.028954,0.075550,0.000000,3.141593,0.000000,0.000000,0
