timestamp_us,phase_onnx,raw_phase_onnx,stride_rate_hz_onnx,cos_value_onnx,sin_value_onnx,total_predictions_onnx,phase_keras,raw_phase_keras,stride_rate_hz_keras,cos_value_keras,sin_value_keras,total_predictions_keras,phase_error_cycle,phase_error_percent,phase_abs_error_percent
186315131,0.8183880301185327,0.6345386215042531,0.4247759580612182,-0.3575655519962311,-0.4032160937786102,73,0.8183880193025928,0.6345386039857794,0.42477598786354065,-0.3575655519962311,-0.40321600437164307,73,-1.081593992147134e-08,-1.081593992147134e-06,1.081593992147134e-06
186348465,0.8325487963227308,0.6345484252705456,0.424822986125946,-0.3575338423252105,-0.4032303690910339,74,0.8325487835199694,0.6345483938356317,0.42482292652130127,-0.35753393173217773,-0.40323030948638916,74,-1.2802761406582874e-08,-1.2802761406582874e-06,1.2802761406582874e-06
186381799,0.8467098396885272,0.6345471394243845,0.4248313009738922,-0.3572932183742523,-0.4029524326324463,75,0.8467098268857658,0.6345471028715275,0.4248313009738922,-0.3572932779788971,-0.40295231342315674,75,-1.2802761406582874e-08,-1.2802761406582874e-06,1.2802761406582874e-06
186415133,0.8608716132112221,0.6346668753558182,0.4248532056808471,-0.3571498990058899,-0.4034017622470855,76,0.8608716014018715,0.6346668885386112,0.42485323548316956,-0.3571498394012451,-0.40340176224708557,76,-1.1809350608515956e-08,-1.1809350608515956e-06,1.1809350608515956e-06
186448467,0.8750316442914681,0.6345176483370325,0.4248009324073791,-0.3576324880123138,-0.4031845331192016,77,0.8750316334755281,0.6345175715606779,0.42480096220970154,-0.35763275623321533,-0.4031844437122345,77,-1.081593992147134e-08,-1.081593992147134e-06,1.081593992147134e-06
186481801,0.8891890925037738,0.6345039621230932,0.4247234463691711,-0.3577403426170349,-0.4032362699508667,78,0.8891890836746553,0.6345039299550013,0.4247235059738159,-0.35774046182632446,-0.4032362401485443,78,-8.829118436359806e-09,-8.829118436359806e-07,8.829118436359806e-07
186515135,0.9034341833857572,0.6340048294033463,0.4273527264595032,-0.3603784143924713,-0.4036527276039123,79,0.9034341745566388,0.6340048235655908,0.4273527264595032,-0.3603784143924713,-0.40365269780158997,79,-8.829118436359806e-09,-8.829118436359806e-07,8.829118436359806e-07
186548469,0.9176804762947436,0.6339128133514249,0.4273887872695923,-0.3601435720920563,-0.4029205441474914,80,0.9176804654788037,0.6339128198952986,0.4273887276649475,-0.3601435422897339,-0.40292054414749146,80,-1.081593992147134e-08,-1.081593992147134e-06,1.081593992147134e-06
186581803,0.931929411676315,0.6339985549534644,0.4274680614471435,-0.3595617115497589,-0.4027059972286224,81,0.9319293948999107,0.633998567358661,0.42746788263320923,-0.3595616817474365,-0.4027060270309448,81,-1.6776404376805942e-08,-1.6776404376805942e-06,1.6776404376805942e-06
186615137,0.9461753489442544,0.6339347619113058,0.4273781180381775,-0.3597719371318817,-0.4026165008544922,82,0.9461753301810284,0.6339347391949126,0.4273780584335327,-0.3597719073295593,-0.40261635184288025,82,-1.876322597293978e-08,-1.8763225972939779e-06,1.8763225972939779e-06
186648471,0.9604209285843248,0.6340637839592089,0.4273673892021179,-0.3593762516975403,-0.4028304815292358,83,0.9604209118079204,0.6340637628753969,0.4273674488067627,-0.3593764007091522,-0.4028305411338806,83,-1.6776404376805942e-08,-1.6776404376805942e-06,1.6776404376805942e-06
